 -2.991000  0.00000100  0.00000100************  0.00000000
 -2.973000  0.00000100  0.00000100************  0.00000000
  1.941000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.959000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.977000  1.00000000 -1.00000000  0.00000000  0.00000000
  1.995000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.013000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.031000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.049000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.067000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.085000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.103000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.121000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.139000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.157000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.175000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.193000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.211000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.229000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.247000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.265000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.283000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.301000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.319000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.337000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.355000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.373000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.391000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.409000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.427000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.445000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.463000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.481000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.499000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.517000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.535000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.553000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.571000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.589000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.607000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.625000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.643000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.661000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.679000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.697000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.715000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.733000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.751000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.769000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.787000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.805000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.823000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.841000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.859000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.877000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.895000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.913000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.931000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.949000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.967000  1.00000000 -1.00000000  0.00000000  0.00000000
  2.985000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.003000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.021000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.039000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.057000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.075000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.093000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.111000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.129000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.147000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.165000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.183000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.201000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.219000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.237000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.255000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.273000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.291000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.309000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.327000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.345000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.363000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.381000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.399000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.417000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.435000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.453000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.471000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.489000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.506999  1.00000000 -1.00000000  0.00000000  0.00000000
  3.525000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.543000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.561000  1.00000000 -1.00000000************  0.00000000
  3.579000  1.00000000 -1.00000000************  0.00000000
  3.597000  1.00000000 -1.00000000************  0.00000000
  3.615000  1.00000000 -1.00000000************  0.00000000
  3.633000  1.00000000 -1.00000000************  0.00000000
  3.651000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.669000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.687000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.705000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.723000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.741000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.759000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.776999  1.00000000 -1.00000000  0.00000000  0.00000000
  3.795000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.813000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.831000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.849000  1.00000000 -1.00000000  0.00000000  0.00000000
